recid,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,gender,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
190,0<= & <200,18,no credits/all paid,furniture/equipment,3244,<100,1<= & <4,1,female,div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
191,no checking,24,existing paid,business,4591,>=1000,1<= & <4,2,male,single,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
192,0<= & <200,48,no credits/all paid,business,3844,100<= & <500,4<= & <7,4,male,single,none,4,no known property,34,none,for free,1,unskilled resident,2,none,yes,bad
193,0<= & <200,27,existing paid,business,3915,<100,1<= & <4,4,male,single,none,2,car,36,none,own,1,skilled,2,yes,yes,bad
194,no checking,6,existing paid,radio/tv,2108,<100,4<= & <7,2,male,mar/wid,none,2,real estate,29,none,rent,1,skilled,1,none,yes,good
195,0<= & <200,45,existing paid,radio/tv,3031,100<= & <500,1<= & <4,4,male,single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad
196,0<= & <200,9,critical/other existing credit,education,1501,<100,>=7,2,female,div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
197,no checking,6,critical/other existing credit,radio/tv,1382,<100,1<= & <4,1,female,div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,good
198,0<= & <200,12,existing paid,furniture/equipment,951,100<= & <500,<1,4,female,div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes,bad
199,0<= & <200,24,existing paid,used car,2760,no known savings,>=7,4,male,single,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes,good
200,0<= & <200,18,delayed previously,furniture/equipment,4297,<100,>=7,4,male,div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
201,no checking,9,critical/other existing credit,education,936,500<= & <1000,>=7,4,male,single,none,2,car,52,none,own,2,skilled,1,yes,yes,good
202,<0,12,existing paid,new car,1168,<100,1<= & <4,4,male,mar/wid,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes,good
203,no checking,27,delayed previously,business,5117,<100,4<= & <7,3,male,single,none,4,car,26,none,own,2,skilled,1,none,yes,good
204,<0,12,existing paid,retraining,902,<100,4<= & <7,4,male,mar/wid,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad
205,no checking,12,critical/other existing credit,new car,1495,<100,>=7,4,male,single,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,good
206,<0,30,critical/other existing credit,used car,10623,<100,>=7,3,male,single,none,4,no known property,38,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
207,no checking,12,critical/other existing credit,furniture/equipment,1935,<100,>=7,4,male,single,none,4,real estate,43,none,own,3,skilled,1,yes,yes,good
208,0<= & <200,12,critical/other existing credit,domestic appliance,1424,<100,4<= & <7,4,male,single,none,3,life insurance,26,none,own,1,skilled,1,none,yes,good
209,<0,24,existing paid,business,6568,<100,1<= & <4,2,male,mar/wid,none,2,car,21,stores,own,1,unskilled resident,1,none,yes,good
210,no checking,12,existing paid,used car,1413,>=1000,4<= & <7,3,male,single,none,2,life insurance,55,none,own,1,skilled,1,none,no,good
211,no checking,9,critical/other existing credit,radio/tv,3074,no known savings,1<= & <4,1,male,single,none,2,real estate,33,none,own,2,skilled,2,none,yes,good
212,no checking,36,existing paid,radio/tv,3835,no known savings,>=7,2,female,div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,good
213,<0,27,no credits/all paid,business,5293,<100,unemployed,2,male,single,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,bad
214,>=200,30,delayed previously,business,1908,<100,>=7,4,male,single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
215,no checking,36,critical/other existing credit,radio/tv,3342,no known savings,>=7,4,male,single,none,2,car,51,none,own,1,skilled,1,yes,yes,good
216,0<= & <200,6,critical/other existing credit,retraining,932,no known savings,4<= & <7,1,female,div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,yes,good
217,<0,18,no credits/all paid,business,3104,<100,4<= & <7,3,male,single,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes,good
218,>=200,36,existing paid,radio/tv,3913,<100,1<= & <4,2,male,single,none,2,real estate,23,none,own,1,skilled,1,yes,yes,good
219,<0,24,existing paid,furniture/equipment,3021,<100,1<= & <4,2,male,div/sep,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good
220,no checking,10,existing paid,new car,1364,<100,1<= & <4,2,female,div/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes,good
221,0<= & <200,12,existing paid,radio/tv,625,<100,<1,4,male,mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,good
222,<0,12,existing paid,education,1200,no known savings,1<= & <4,4,female,div/dep/mar,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,good
223,no checking,12,existing paid,radio/tv,707,<100,1<= & <4,4,male,single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,good
224,no checking,24,delayed previously,business,2978,no known savings,1<= & <4,4,male,single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,good
225,no checking,15,existing paid,used car,4657,<100,1<= & <4,3,male,single,none,2,car,30,none,own,1,skilled,1,yes,yes,good
226,no checking,36,no credits/all paid,repairs,2613,<100,1<= & <4,4,male,single,none,2,car,27,none,own,2,skilled,1,none,yes,good
227,0<= & <200,48,existing paid,radio/tv,10961,>=1000,4<= & <7,1,male,single,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,yes,bad
228,<0,12,existing paid,furniture/equipment,7865,<100,>=7,4,male,single,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
229,no checking,9,existing paid,radio/tv,1478,<100,4<= & <7,4,male,single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
230,<0,24,existing paid,furniture/equipment,3149,<100,<1,4,male,single,none,1,no known property,22,bank,for free,1,skilled,1,none,yes,good
231,>=200,36,existing paid,radio/tv,4210,<100,1<= & <4,4,male,single,none,2,car,26,none,own,1,skilled,1,none,yes,bad
232,no checking,9,existing paid,new car,2507,500<= & <1000,>=7,2,male,single,none,4,no known property,51,none,for free,1,unskilled resident,1,none,yes,good
233,no checking,12,existing paid,radio/tv,2141,100<= & <500,4<= & <7,3,male,single,none,1,no known property,35,none,own,1,skilled,1,none,yes,good
234,0<= & <200,18,existing paid,radio/tv,866,<100,1<= & <4,4,male,mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,good
235,no checking,4,critical/other existing credit,radio/tv,1544,<100,4<= & <7,2,male,single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,good
236,<0,24,existing paid,radio/tv,1823,<100,unemployed,4,male,single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,none,yes,bad
237,0<= & <200,6,existing paid,new car,14555,no known savings,unemployed,1,male,single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,yes,bad
238,0<= & <200,21,existing paid,business,2767,100<= & <500,>=7,4,male,div/sep,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes,bad
239,no checking,12,critical/other existing credit,radio/tv,1291,<100,1<= & <4,4,female,div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,none,yes,good
240,<0,30,existing paid,radio/tv,2522,<100,>=7,1,male,single,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,good
241,<0,24,existing paid,new car,915,no known savings,>=7,4,female,div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,bad
242,no checking,6,existing paid,radio/tv,1595,<100,4<= & <7,3,male,single,none,2,life insurance,51,none,own,1,skilled,2,none,yes,good
243,<0,48,no credits/all paid,used car,4605,<100,>=7,3,male,single,none,4,no known property,24,none,for free,2,skilled,2,none,yes,bad
244,no checking,12,critical/other existing credit,business,1185,<100,1<= & <4,3,female,div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,none,yes,good
245,no checking,12,all paid,retraining,3447,500<= & <1000,1<= & <4,4,female,div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,good
246,no checking,24,existing paid,business,1258,<100,4<= & <7,4,male,single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,good
247,no checking,12,critical/other existing credit,radio/tv,717,<100,>=7,4,male,single,none,4,real estate,52,none,own,3,skilled,1,none,yes,good
248,no checking,6,no credits/all paid,new car,1204,100<= & <500,1<= & <4,4,male,single,none,1,no known property,35,bank,rent,1,skilled,1,none,no,good
249,>=200,24,existing paid,furniture/equipment,1925,<100,1<= & <4,2,male,single,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
250,no checking,18,existing paid,radio/tv,433,<100,unemployed,3,female,div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,bad
251,<0,6,critical/other existing credit,new car,666,>=1000,4<= & <7,3,female,div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,good
252,>=200,12,existing paid,furniture/equipment,2251,<100,1<= & <4,1,female,div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,none,yes,good
253,0<= & <200,30,existing paid,new car,2150,<100,1<= & <4,4,female,div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,bad
254,no checking,24,delayed previously,furniture/equipment,4151,100<= & <500,1<= & <4,2,male,single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,good
255,0<= & <200,9,existing paid,furniture/equipment,2030,no known savings,4<= & <7,2,male,single,none,1,car,24,none,own,1,skilled,1,yes,yes,good
256,0<= & <200,60,delayed previously,radio/tv,7418,no known savings,1<= & <4,1,male,single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,good
257,no checking,24,critical/other existing credit,radio/tv,2684,<100,1<= & <4,4,male,single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,good
258,<0,12,all paid,radio/tv,2149,<100,1<= & <4,4,male,div/sep,none,1,no known property,29,none,for free,1,skilled,1,none,yes,bad
259,no checking,15,existing paid,used car,3812,100<= & <500,<1,1,female,div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,good
260,no checking,11,critical/other existing credit,radio/tv,1154,100<= & <500,unemployed,4,female,div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,good
261,<0,12,existing paid,furniture/equipment,1657,<100,1<= & <4,2,male,single,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
262,<0,24,existing paid,radio/tv,1603,<100,>=7,4,female,div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,good
263,<0,18,critical/other existing credit,new car,5302,<100,>=7,2,male,single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
264,no checking,12,critical/other existing credit,education,2748,<100,>=7,2,female,div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,yes,good
265,no checking,10,critical/other existing credit,new car,1231,<100,>=7,3,male,single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,good
266,0<= & <200,15,existing paid,radio/tv,802,<100,>=7,4,male,single,none,3,car,37,none,own,1,skilled,2,none,yes,bad
267,no checking,36,critical/other existing credit,business,6304,no known savings,>=7,4,male,single,none,4,real estate,36,none,own,2,skilled,1,none,yes,good
268,no checking,24,existing paid,radio/tv,1533,<100,<1,4,female,div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,good
269,<0,14,existing paid,new car,8978,<100,>=7,1,male,div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
270,no checking,24,existing paid,radio/tv,999,no known savings,>=7,4,male,single,none,2,car,25,none,own,2,skilled,1,none,yes,good
271,no checking,18,existing paid,new car,2662,no known savings,4<= & <7,4,male,single,none,3,life insurance,32,none,own,1,skilled,1,none,no,good
272,no checking,12,critical/other existing credit,furniture/equipment,1402,500<= & <1000,4<= & <7,3,female,div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,good
273,0<= & <200,48,all paid,new car,12169,no known savings,unemployed,4,male,single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
274,0<= & <200,48,existing paid,radio/tv,3060,<100,4<= & <7,4,male,single,none,4,real estate,28,none,own,2,skilled,1,none,yes,bad
275,<0,30,existing paid,repairs,11998,<100,<1,1,male,div/sep,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes,bad
276,no checking,9,existing paid,radio/tv,2697,<100,1<= & <4,1,male,single,none,2,real estate,32,none,own,1,skilled,2,none,yes,good
277,no checking,18,critical/other existing credit,radio/tv,2404,<100,1<= & <4,2,female,div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,good
278,<0,12,existing paid,furniture/equipment,1262,no known savings,>=7,2,male,div/sep,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,good
279,no checking,6,existing paid,furniture/equipment,4611,<100,<1,1,female,div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,none,yes,bad
280,no checking,24,existing paid,radio/tv,1901,100<= & <500,1<= & <4,4,male,single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
281,no checking,15,critical/other existing credit,used car,3368,>=1000,>=7,3,male,single,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,good
282,no checking,12,existing paid,furniture/equipment,1574,<100,1<= & <4,4,male,single,none,2,real estate,50,none,own,1,skilled,1,none,yes,good
283,>=200,18,all paid,radio/tv,1445,no known savings,4<= & <7,4,male,single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,good
284,no checking,15,critical/other existing credit,furniture/equipment,1520,no known savings,>=7,4,male,single,none,4,life insurance,63,none,own,1,skilled,1,none,yes,good
285,0<= & <200,24,critical/other existing credit,new car,3878,100<= & <500,<1,4,male,div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,good
286,<0,47,existing paid,new car,10722,<100,<1,1,female,div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,good
287,<0,48,existing paid,used car,4788,<100,4<= & <7,4,male,single,none,3,life insurance,26,none,own,1,skilled,2,none,yes,good
288,0<= & <200,48,delayed previously,other,7582,100<= & <500,unemployed,2,male,single,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
289,0<= & <200,12,existing paid,radio/tv,1092,<100,1<= & <4,4,female,div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,good
290,<0,24,delayed previously,radio/tv,1024,<100,<1,4,male,mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,yes,bad
291,no checking,12,existing paid,business,1076,<100,1<= & <4,2,male,mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,good
292,0<= & <200,36,existing paid,used car,9398,<100,<1,1,male,mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
293,<0,24,critical/other existing credit,used car,6419,<100,>=7,2,female,div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
294,>=200,42,critical/other existing credit,used car,4796,<100,>=7,4,male,single,none,4,no known property,56,none,for free,1,skilled,1,none,yes,good
295,no checking,48,critical/other existing credit,business,7629,no known savings,>=7,4,male,div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good
296,0<= & <200,48,existing paid,furniture/equipment,9960,<100,<1,1,female,div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,bad
297,no checking,12,existing paid,used car,4675,no known savings,<1,1,female,div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,good
298,no checking,10,existing paid,new car,1287,no known savings,>=7,4,male,single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,good
299,no checking,18,existing paid,furniture/equipment,2515,<100,1<= & <4,3,male,single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,good
300,0<= & <200,21,critical/other existing credit,furniture/equipment,2745,>=1000,4<= & <7,3,male,single,none,2,car,32,none,own,2,skilled,1,yes,yes,good
301,no checking,6,existing paid,new car,672,<100,unemployed,1,female,div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,good
302,0<= & <200,36,no credits/all paid,radio/tv,3804,<100,1<= & <4,4,female,div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,bad
303,>=200,24,critical/other existing credit,new car,1344,no known savings,4<= & <7,4,male,single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,bad
304,<0,10,critical/other existing credit,new car,1038,<100,4<= & <7,4,male,single,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,good
305,no checking,48,critical/other existing credit,new car,10127,500<= & <1000,1<= & <4,2,male,single,none,2,no known property,44,bank,for free,1,skilled,1,none,yes,bad
306,no checking,6,existing paid,furniture/equipment,1543,>=1000,1<= & <4,4,male,div/sep,none,2,real estate,33,none,own,1,skilled,1,none,yes,good
307,no checking,30,existing paid,used car,4811,no known savings,4<= & <7,2,female,div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,good
308,<0,12,existing paid,radio/tv,727,100<= & <500,<1,4,male,mar/wid,none,3,no known property,33,none,own,1,unskilled resident,1,yes,yes,bad
309,0<= & <200,8,existing paid,furniture/equipment,1237,<100,1<= & <4,3,female,div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,yes,bad
310,0<= & <200,9,existing paid,new car,276,<100,1<= & <4,4,male,mar/wid,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,good
311,0<= & <200,48,existing paid,other,5381,no known savings,unemployed,3,male,single,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,yes,good
312,no checking,24,existing paid,furniture/equipment,5511,100<= & <500,1<= & <4,4,male,single,none,1,car,25,stores,own,1,skilled,1,none,yes,good
313,>=200,24,existing paid,furniture/equipment,3749,<100,<1,2,female,div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good
314,0<= & <200,12,existing paid,new car,685,<100,4<= & <7,2,male,mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,bad
315,>=200,4,existing paid,new car,1494,no known savings,<1,1,male,single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,good
316,<0,36,all paid,furniture/equipment,2746,<100,>=7,4,male,single,none,4,car,31,bank,own,1,skilled,1,none,yes,bad
317,<0,12,existing paid,furniture/equipment,708,<100,1<= & <4,2,male,single,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes,good
318,0<= & <200,24,existing paid,furniture/equipment,4351,no known savings,1<= & <4,1,female,div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,good
319,no checking,12,critical/other existing credit,education,701,<100,1<= & <4,4,male,single,none,2,car,32,none,own,2,skilled,1,none,yes,good
320,<0,15,delayed previously,furniture/equipment,3643,<100,>=7,1,female,div/dep/mar,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes,good
321,0<= & <200,30,critical/other existing credit,new car,4249,<100,unemployed,4,male,mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
322,<0,24,existing paid,radio/tv,1938,<100,<1,4,male,div/sep,none,3,life insurance,32,none,own,1,skilled,1,none,yes,bad
323,<0,24,existing paid,used car,2910,<100,4<= & <7,2,male,single,none,1,no known property,34,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
324,<0,18,existing paid,furniture/equipment,2659,>=1000,1<= & <4,4,male,single,none,2,car,28,none,own,1,skilled,1,none,yes,good
325,no checking,18,critical/other existing credit,new car,1028,<100,1<= & <4,4,female,div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,none,yes,good
326,<0,8,critical/other existing credit,new car,3398,<100,4<= & <7,1,male,single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,good
327,no checking,12,critical/other existing credit,furniture/equipment,5801,no known savings,>=7,2,male,single,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,good
328,no checking,24,existing paid,new car,1525,>=1000,4<= & <7,4,female,div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,good
329,>=200,36,existing paid,radio/tv,4473,<100,>=7,4,male,single,none,2,car,31,none,own,1,skilled,1,none,yes,good
330,0<= & <200,6,existing paid,radio/tv,1068,<100,>=7,4,male,single,none,4,car,28,none,own,1,skilled,2,none,yes,good
331,<0,24,critical/other existing credit,used car,6615,<100,unemployed,2,male,single,none,4,no known property,75,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
332,no checking,18,critical/other existing credit,education,1864,100<= & <500,1<= & <4,4,female,div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,none,yes,bad
333,0<= & <200,60,existing paid,new car,7408,100<= & <500,<1,4,female,div/dep/mar,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
334,no checking,48,critical/other existing credit,used car,11590,100<= & <500,1<= & <4,2,female,div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,bad
335,<0,24,no credits/all paid,furniture/equipment,4110,<100,>=7,3,male,single,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,bad
336,<0,6,critical/other existing credit,furniture/equipment,3384,<100,1<= & <4,1,male,div/sep,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
337,0<= & <200,13,existing paid,radio/tv,2101,<100,<1,2,female,div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,good
338,<0,15,existing paid,domestic appliance,1275,no known savings,1<= & <4,4,female,div/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes,bad
339,<0,24,existing paid,furniture/equipment,4169,<100,1<= & <4,4,male,single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,good
340,0<= & <200,10,existing paid,furniture/equipment,1521,<100,1<= & <4,4,male,div/sep,none,2,car,31,none,own,1,unskilled resident,1,none,yes,good
341,0<= & <200,24,critical/other existing credit,education,5743,<100,<1,2,female,div/dep/mar,none,4,no known property,24,none,for free,2,skilled,1,yes,yes,good
342,<0,21,existing paid,furniture/equipment,3599,<100,4<= & <7,1,female,div/dep/mar,none,4,car,26,none,rent,1,unskilled resident,1,none,yes,good
343,0<= & <200,18,existing paid,radio/tv,3213,500<= & <1000,<1,1,male,mar/wid,none,3,real estate,25,none,rent,1,skilled,1,none,yes,good
344,0<= & <200,18,existing paid,business,4439,<100,>=7,1,male,single,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
345,>=200,10,existing paid,new car,3949,<100,<1,1,male,single,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes,good
346,no checking,15,critical/other existing credit,radio/tv,1459,<100,1<= & <4,4,female,div/dep/mar,none,2,car,43,none,own,1,unskilled resident,1,none,yes,good
347,0<= & <200,13,critical/other existing credit,radio/tv,882,<100,<1,4,male,single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,good
348,0<= & <200,24,existing paid,radio/tv,3758,500<= & <1000,unemployed,1,female,div/dep/mar,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes,good
349,no checking,6,delayed previously,business,1743,100<= & <500,1<= & <4,1,male,single,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,good
350,0<= & <200,9,critical/other existing credit,education,1136,>=1000,>=7,4,male,single,none,3,no known property,32,none,for free,2,skilled,2,none,yes,bad
351,no checking,9,existing paid,domestic appliance,1236,<100,<1,1,female,div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,good
352,0<= & <200,9,existing paid,furniture/equipment,959,<100,1<= & <4,1,female,div/dep/mar,none,2,car,29,none,own,1,skilled,1,none,no,bad
353,no checking,18,critical/other existing credit,used car,3229,no known savings,unemployed,2,male,single,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
354,<0,12,no credits/all paid,radio/tv,6199,<100,1<= & <4,4,male,single,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,bad
355,no checking,10,existing paid,education,727,500<= & <1000,>=7,4,male,single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,good
356,0<= & <200,24,existing paid,new car,1246,<100,<1,4,male,single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,bad
357,no checking,12,critical/other existing credit,radio/tv,2331,no known savings,>=7,1,male,single,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,good
358,no checking,36,delayed previously,radio/tv,4463,<100,1<= & <4,4,male,single,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
359,no checking,12,existing paid,radio/tv,776,<100,1<= & <4,4,male,mar/wid,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
360,<0,30,existing paid,furniture/equipment,2406,<100,4<= & <7,4,female,div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,none,yes,bad
361,0<= & <200,18,existing paid,education,1239,no known savings,1<= & <4,4,male,single,none,4,no known property,61,none,for free,1,skilled,1,none,yes,good
362,>=200,12,existing paid,radio/tv,3399,no known savings,>=7,2,male,single,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
363,>=200,12,delayed previously,new car,2247,<100,1<= & <4,2,female,div/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes,good
364,no checking,6,existing paid,furniture/equipment,1766,<100,1<= & <4,1,male,mar/wid,none,2,life insurance,21,none,rent,1,skilled,1,none,yes,good
365,<0,18,existing paid,furniture/equipment,2473,<100,unemployed,4,male,single,none,1,car,25,none,own,1,unemp/unskilled non res,1,none,yes,bad
366,no checking,12,existing paid,business,1542,<100,4<= & <7,2,male,single,none,4,car,36,none,own,1,skilled,1,yes,yes,good
367,no checking,18,critical/other existing credit,used car,3850,<100,4<= & <7,3,male,single,none,1,car,27,none,own,2,skilled,1,none,yes,good
368,<0,18,existing paid,furniture/equipment,3650,<100,<1,1,female,div/dep/mar,none,4,car,22,none,rent,1,skilled,1,none,yes,good
369,<0,36,existing paid,furniture/equipment,3446,<100,>=7,4,male,single,none,2,car,42,none,own,1,skilled,2,none,yes,bad
370,0<= & <200,18,existing paid,furniture/equipment,3001,<100,4<= & <7,2,female,div/dep/mar,none,4,real estate,40,none,rent,1,skilled,1,none,yes,good
371,no checking,36,existing paid,new car,3079,no known savings,1<= & <4,4,male,single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
372,no checking,18,critical/other existing credit,radio/tv,6070,<100,>=7,3,male,single,none,4,car,33,none,own,2,skilled,1,yes,yes,good
373,no checking,10,critical/other existing credit,furniture/equipment,2146,<100,<1,1,female,div/dep/mar,none,3,real estate,23,none,rent,2,skilled,1,none,yes,good
374,no checking,60,critical/other existing credit,new car,13756,no known savings,>=7,2,male,single,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
375,0<= & <200,60,all paid,other,14782,100<= & <500,>=7,3,female,div/dep/mar,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
376,<0,48,all paid,business,7685,<100,4<= & <7,2,female,div/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,bad
377,no checking,18,delayed previously,radio/tv,2320,<100,unemployed,2,male,mar/wid,none,3,real estate,34,none,own,2,skilled,1,none,yes,good
378,no checking,7,delayed previously,radio/tv,846,no known savings,>=7,3,male,single,none,4,no known property,36,none,for free,1,skilled,1,none,yes,good
379,0<= & <200,36,existing paid,new car,14318,<100,>=7,4,male,single,none,2,no known property,57,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
